Message,N,AveragePreimageComplexity,AverageCollisionComplexity
askdmaskd,4,16.675,19.054
askdmaskd,6,65.723,70.601
askdmaskd,8,263.04,264.04
askdmaskd,10,988.166,989.325
askdmaskd,12,4273.88,4048.66
